nsmoid,analysis_weight,age_r,open_year,rate_spread,pmms,cltv,dti,cu,first_mort_r,i_open,considerations,applications,score_0,i_close_0,score_1,i_close_1,i_close_first_year,i_refinance,i_married,i_FHA,i_large_loan,i_medium_loan,i_higher_ed,i_open_year2,i_open_year3,i_open_year4,i_open_year5,rate
201145,1706.654411764706,.37,2013,.24,3.509999997913837,.97000003,1,2,2,1,1,1,5.9099998,0,6.6300001,0,0,1,0,0,0,1,0,0,0,0,0,3.75
200872,1905.339552238806,.34999999,2013,.73,3.399999998509884,1.23,.25,2,2,1,1,1,7.29,0,6.1799998,0,0,1,0,0,0,0,1,0,0,0,0,4.1300001
201330,1905.339552238806,.34,2013,-.27,3.519999995827675,.91000003,.25,2,2,0,1,1,6.4099998,0,5.8099999,1,1,1,1,1,0,1,1,0,0,0,0,3.25
202233,1437.587274774775,.33000001,2013,-.07,3.569999992847443,.97000003,.5,2,2,1,1,1,6.8099999,0,5.8899999,0,0,0,0,1,0,0,1,0,0,0,0,3.5
201022,1437.587274774775,.34,2013,-.15,4.399999991059303,.77999997,.5,2,1,1,3,3,8.1000004,0,8.0100002,0,0,0,0,0,0,1,1,0,0,0,0,4.25
200657,1905.339552238806,.33000001,2013,-.15,3.399999998509884,.94999999,.5,2,2,0,1,1,6.9099998,0,7.3000002,0,0,1,1,1,0,1,0,0,0,0,0,3.25
202426,3025.065165876777,.31999999,2013,-.15,3.399999998509884,1.02,.25,2,1,1,1,1,6.4499998,0,7.3800001,0,0,0,1,1,0,1,0,0,0,0,0,3.25
203887,2677.617101449275,.31999999,2013,-.15,3.529999993741512,.87,.25,2,2,1,3,1,8.1400003,0,7.98,0,0,1,1,1,0,0,1,0,0,0,0,3.3799999
200220,1713.591902552204,.31,2013,.23,3.399999998509884,.62,.25,2,1,0,2,2,7.8299999,0,7.3299999,0,0,0,1,0,1,0,1,0,0,0,0,3.6300001
202861,1028.749258064516,.63999999,2013,-.41,3.909999996423721,.97000003,.5,2,2,1,2,1,7.9000001,0,7.3299999,0,0,0,0,0,0,1,1,0,0,0,0,3.5
203835,1706.654411764706,.28,2013,-.71,4.459999993443489,.69999999,.5,2,1,0,2,2,7.8800001,0,7.8800001,0,0,0,0,0,0,1,1,0,0,0,0,3.75
201211,1208.769410801964,.28999999,2013,-.46,4.459999993443489,.95999998,.5,2,1,0,2,2,6.9000001,0,6.8899999,0,0,0,1,1,0,1,1,0,0,0,0,4
204020,1437.587274774775,.34,2013,.35,4.399999991059303,.79000002,.25,2,1,1,1,2,7.4099998,0,7.46,0,0,0,0,0,0,0,1,0,0,0,0,4.75
