nsmoid,analysis_weight,age_r,open_year,rate_spread,pmms,cltv,dti,cu,first_mort_r,duration,i_open,considerations,applications,score_0,score_1,score_2,i_close_first_year,i_refinance,i_married,i_FHA,i_large_loan,i_medium_loan,i_higher_ed,i_open_year2,i_open_year3,i_open_year4,i_open_year5,rate,rate_0,rate_1,rate_2,i_open_0,i_open_1,i_open_2
201145,1706.654411764706,.37,2013,.24,3.509999997913837,.97000003,1,2,2,4,1,1,1,5.9099998,6.6300001,6.9299998,0,1,0,0,0,1,0,0,0,0,0,3.75,3.895689,3.8419178,3.6166666,1,1,1
200872,1905.339552238806,.34999999,2013,.73,3.399999998509884,1.23,.25,2,2,4,1,1,1,7.29,6.1799998,6.4099998,0,1,0,0,0,0,1,0,0,0,0,4.1300001,3.895689,3.8419178,3.6166666,1,1,1
201330,1905.339552238806,.34,2013,-.27,3.519999995827675,.91000003,.25,2,2,2,0,1,1,6.4099998,5.8099999,3.98,1,1,1,1,0,1,1,0,0,0,0,3.25,3.895689,3.8419178,3.6166666,1,0,1
202233,1437.587274774775,.33000001,2013,-.07,3.569999992847443,.97000003,.5,2,2,4,1,1,1,6.8099999,5.8899999,6.23,0,0,0,1,0,0,1,0,0,0,0,3.5,3.895689,3.8419178,3.6166666,1,1,1
201022,1437.587274774775,.34,2013,-.15,4.399999991059303,.77999997,.5,2,1,4,1,3,3,8.1000004,8.0100002,6.3299999,0,0,0,0,0,1,1,0,0,0,0,4.25,3.895689,3.8419178,3.6166666,1,1,1
200657,1905.339552238806,.33000001,2013,-.15,3.399999998509884,.94999999,.5,2,2,3,0,1,1,6.9099998,7.3000002,6.8499999,0,1,1,1,0,1,0,0,0,0,0,3.25,3.895689,3.8419178,3.6166666,1,1,0
202426,3025.065165876777,.31999999,2013,-.15,3.399999998509884,1.02,.25,2,1,4,1,1,1,6.4499998,7.3800001,7.4699998,0,0,1,1,0,1,0,0,0,0,0,3.25,3.895689,3.8419178,3.6166666,1,1,1
203887,2677.617101449275,.31999999,2013,-.15,3.529999993741512,.87,.25,2,2,4,1,3,1,8.1400003,7.98,8.1300001,0,1,1,1,0,0,1,0,0,0,0,3.3799999,3.895689,3.8419178,3.6166666,1,1,1
200220,1713.591902552204,.31,2013,.23,3.399999998509884,.62,.25,2,1,3,0,2,2,7.8299999,7.3299999,7.1799998,0,0,1,0,1,0,1,0,0,0,0,3.6300001,3.895689,3.8419178,3.6166666,1,1,0
202861,1028.749258064516,.63999999,2013,-.41,3.909999996423721,.97000003,.5,2,2,4,1,2,1,7.9000001,7.3299999,7.54,0,0,0,0,0,1,1,0,0,0,0,3.5,3.895689,3.8419178,3.6166666,1,1,1
203835,1706.654411764706,.28,2013,-.71,4.459999993443489,.69999999,.5,2,1,4,0,2,2,7.8800001,7.8800001,7.9899998,0,0,0,0,0,1,1,0,0,0,0,3.75,3.895689,3.8419178,3.6166666,1,1,1
201211,1208.769410801964,.28999999,2013,-.46,4.459999993443489,.95999998,.5,2,1,4,0,2,2,6.9000001,6.8899999,6.5799999,0,0,1,1,0,1,1,0,0,0,0,4,3.895689,3.8419178,3.6166666,1,1,1
204020,1437.587274774775,.34,2013,.35,4.399999991059303,.79000002,.25,2,1,4,1,1,2,7.4099998,7.46,7.4499998,0,0,0,0,0,0,1,0,0,0,0,4.75,3.895689,3.8419178,3.6166666,1,1,1
203804,1437.587274774775,.28999999,2013,.21,3.53999999910593,.89999998,.5,1,1,4,1,4,1,7.8000002,7.6700001,7.8699999,0,0,1,0,0,1,1,0,0,0,0,3.75,3.895689,3.8419178,3.6166666,1,1,1
204365,1028.749258064516,.52999997,2013,.22,3.529999993741512,.79000002,.25,2,2,4,0,1,1,8.1899996,8.0799999,8.1999998,0,0,1,0,0,0,0,0,0,0,0,3.75,3.895689,3.8419178,3.6166666,1,1,1
202705,1437.587274774775,.56,2013,-.48,3.979999996721745,.36000001,0,2,2,4,0,2,1,8.2200003,8.1499996,7.9000001,0,1,0,0,0,0,0,0,0,0,0,3.5,3.895689,3.8419178,3.6166666,1,1,1
202642,1437.587274774775,.47,2013,.09,3.409999996423721,.51999998,.25,2,2,4,1,2,1,7.9299998,7.9400001,8.04,0,1,1,0,1,0,1,0,0,0,0,3.5,3.895689,3.8419178,3.6166666,1,1,1
203046,1437.587274774775,.47,2013,-.04,3.53999999910593,.63999999,.25,2,2,4,0,1,1,8.0699997,8.0299997,8.04,0,1,0,0,1,0,1,0,0,0,0,3.5,3.895689,3.8419178,3.6166666,1,1,1
201911,1437.587274774775,.62,2013,-.03,3.529999993741512,.79000002,.25,2,2,4,1,2,1,6.71,6.5100002,6.8499999,0,0,0,0,0,1,0,0,0,0,0,3.5,3.895689,3.8419178,3.6166666,1,1,1
204604,1706.654411764706,.46000001,2013,.22,3.909999996423721,.80000001,.25,2,2,4,1,1,1,7.5,7.9699998,8.0299997,0,1,0,0,1,0,1,0,0,0,0,4.1300001,3.895689,3.8419178,3.6166666,1,1,1
204005,1028.749258064516,.56999999,2013,.13,3.369999997317791,.57999998,.5,2,2,4,1,1,1,8.1300001,8.1099997,8.1700001,0,1,0,0,0,0,1,0,0,0,0,3.5,3.895689,3.8419178,3.6166666,1,1,1
202870,1028.749258064516,.58999997,2013,.35,3.529999993741512,.95999998,.25,2,2,4,1,1,1,8.2299995,8.1099997,8.21,0,1,0,0,0,0,1,0,0,0,0,3.8799999,3.895689,3.8419178,3.6166666,1,1,1
203808,1437.587274774775,.66000003,2013,.31,4.569999992847443,.89999998,.5,2,2,4,1,1,1,7.23,7.1100001,7.1100001,0,1,0,0,0,0,1,0,0,0,0,4.8800001,3.895689,3.8419178,3.6166666,1,1,1
200174,1706.654411764706,.37,2013,.34,3.409999996423721,1.03,.25,2,2,3,0,2,1,7.4299998,7.5700002,7.48,0,0,1,1,0,1,1,0,0,0,0,3.75,3.895689,3.8419178,3.6166666,1,1,0
200364,1028.749258064516,.50999999,2013,.18,3.569999992847443,.69999999,.25,2,2,4,1,2,1,7.6100001,7.77,8.0200005,0,0,0,0,0,0,1,0,0,0,0,3.75,3.895689,3.8419178,3.6166666,1,1,1
200531,1028.749258064516,.62,2013,.26,4.36999998986721,.49000001,.5,2,2,4,0,3,2,7.6500001,7.0599999,7.04,0,0,0,0,0,1,0,0,0,0,0,4.6300001,3.895689,3.8419178,3.6166666,1,1,1
203449,3025.065165876777,.47,2013,.73,4.399999991059303,1.25,.5,2,2,4,0,2,1,6.3499999,6.3699999,6.46,0,1,0,0,0,1,0,0,0,0,0,5.1300001,3.895689,3.8419178,3.6166666,1,1,1
204456,1437.587274774775,.44999999,2013,.23,3.399999998509884,.88,.5,2,2,4,1,1,1,7.5300002,6.6100001,7.8200002,0,0,0,1,0,1,1,0,0,0,0,3.6300001,3.895689,3.8419178,3.6166666,1,1,1
204004,1905.339552238806,.61000001,2013,1.5,4.219999998807907,.63999999,0,2,2,3,0,1,1,7.7800002,6.8699999,7.3899999,0,0,1,0,0,0,0,0,0,0,0,5.7199998,3.895689,3.8419178,3.6166666,1,1,0
201974,1028.749258064516,.60000002,2013,.37,4.509999990463257,1.02,.5,2,2,3,0,2,1,7.3400002,6.8699999,7.9000001,0,0,0,1,0,1,1,0,0,0,0,4.8800001,3.895689,3.8419178,3.6166666,1,1,0
202687,1028.749258064516,.72000003,2013,.5,3.379999995231628,.31,.5,2,2,4,1,1,1,6.8400002,8.0699997,8.0500002,0,1,1,0,0,0,0,0,0,0,0,3.8800001,3.895689,3.8419178,3.6166666,1,1,1
200600,1028.749258064516,.62,2013,-.03,3.909999996423721,1.02,.25,2,1,4,0,2,2,8.1000004,7.9000001,8.2399998,0,0,0,1,0,1,1,0,0,0,0,3.8800001,3.895689,3.8419178,3.6166666,1,1,1
